Kecamatan;Luas Daerah (km^2);Kepadatan Penduduk per km^2;Tingkat TK/RA;Tingkat SD/MI;Tingkat SMP/MTs;Tingkat SMA/SMK/MA;Murid Tingkat TK/RA;Murid Tingkat SD/MI;Murid Tingkat SMP/MTs;Murid Tingkat SMA/SMK/MA;Guru Tingkat TK/RA;Guru Tingkat SD/MI;Guru Tingkat SMP/MTs;Guru Tingkat SMA/SMK/MA
TBB;11,02;3870;8;13;10;4;340;2548;1938;315;36;152;136;40
TBT;14,83;3769;11;13;5;5;423;4567;1263;1710;50;221;81;113
TBS;3,79;11737;13;22;7;5;761;6067;2268;1863;85;356;170;120
Bumi Waras;3,75;17478;11;16;4;2;472;4504;531;1010;55;271;51;87
Panjang;15,75;5324;18;20;12;6;913;7230;3559;1879;83;350;240;85
TKT;2,03;22018;10;10;4;7;308;3951;345;811;40;240;45;90
Kedamaian;8,21;7318;24;16;10;2;1105;4573;1534;1111;121;306;143;74
TBU;4,33;12833;18;15;9;12;841;4822;3330;3987;97;282;238;261
TKP;4,05;14328;19;17;14;12;986;6305;3349;5205;124;383;245;345
Enggal;3,49;8518;8;7;11;11;454;3708;5544;6468;55;182;394;418
TKB;14,99;4538;25;19;4;8;1087;6245;1973;3060;134;370;140;207
Kemiling;24,24;3792;47;21;14;14;1915;8198;4317;4377;261;452;324;345
LKPR;6,12;7387;19;13;4;2;857;4501;1388;331;129;261;109;33
Kedaton;4,79;12420;21;12;9;9;768;3553;1637;903;104;217;129;92
Rajabasa;13,53;4417;29;16;14;10;1681;6781;4970;5927;192;413;346;391
TS;10,63;6068;20;13;8;8;1066;5549;2558;2503;116;313;192;197
Lbhn Ratu;7,97;6821;20;13;6;6;724;3512;1990;2440;120;207;162;146
Sukarame;14,75;4764;34;14;9;14;1503;6386;4973;6779;169;379;367;494
Sukabumi;23,6;3336;25;16;10;6;1067;6662;2910;1817;128;318;200;152
Way Halim;5,35;14423;21;17;3;1;1200;6613;1169;1613;117;432;56;92
