"Method","Cluster","DBI_value"
"Complete","Cluster 3",0.683808249527841
"Average","Cluster 3",0.683808249527841
"Complete","Cluster 2",0.831029028346593
"Average","Cluster 2",0.831029028346593
"Ward's","Cluster 2",0.831029028346593
"Average","Cluster 5",1.00528102646381
"K-Means","Cluster 2",1.01422166846285
"K-Means","Cluster 4",1.03970240500335
"K-Means","Cluster 5",1.07204791913871
"Average","Cluster 4",1.07664526806241
"Complete","Cluster 4",1.08807769943142
"Complete","Cluster 5",1.1271347020846
"Ward's","Cluster 5",1.13445563724355
"Ward's","Cluster 4",1.19423264655412
"K-Means","Cluster 3",1.4343674660162
"Ward's","Cluster 3",1.47107313019766
